snapshot-date	sku	fnsku	asin	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest_price_new	lowest_price_used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	estimated-cost-savings-of-recommended-actions	sell-through	item-volume	volume-units	storage-type
2020-09-21	AB-0408	X001PYF7RH	B07BBCVZRF	YaeCCC 10KV 30mA Power Supply for Glass Neon Sign Electronic Neon Light Transformer 120V AC 50Hz/60Hz	New	161	0	161	0	0	0	0	USD	0	0.0	0	0.0	4	31	32	53	Low traffic	38.99	38.99	38.99	0.0	Lower price	88	38.99	0	0	0.0	0.6996699669966997	13.440441	cubic feet	Standard
2020-09-21	DS-0412	X002F1UV7P	B082WT9XRP	YaeCCC 32 Pack Cat6 / RJ45 Keystone Jack Set; 10Pcs Cat6 RJ45 Keystone Module Connector with Keystone Punch-Down Stand + 10Pcs 1 Port Keystone Jack Wall Plate + 10Pcs Keystone Jack Inserts	New	36	0	36	0	0	0	0	USD	0	0.0	0	0.0	1	9	20	27	Low traffic	19.99	19.99	19.99	0.0	Lower price	12	19.99	0	0	0.0	1.4594594594594594	4.795956	cubic feet	Standard
2020-09-21	JK-0326	X0022X85SX	B07NPL9Z1V	1500W Aluminum 4 CH Car Stereo Power Amplifier Audio Amp for Sub Woofer	New	10	0	10	0	0	0	0	USD	0	0.0	0	0.0	5	62	80	81		59.99	59.99	59.99	0.0	Improve recommendations	0	0.0	0	0	0.0	3.8117647058823527	2.499600	cubic feet	Standard
2020-09-21	AB-0420	X001QA9WJ9	B07BKVDXK5	AC220V 8A 1.5KW Variable Frequency Drive Converter Speed Controller Converter	New	210	0	210	0	0	0	0	USD	0	0.0	0	0.0	4	19	20	20	Low traffic	72.99	72.99	72.99	0.0	Lower price	12	72.99	0	0	0.0	0.3333333333333333	51.001230	cubic feet	Standard
2020-09-21	AB-0925	X002FGLP5H	B083HS9W2V	YaeCCC Plastic Junction Box Universal Electric Project Enclosure Pale DIY Case Enclosure Waterproof Dustproof IP65 ABS (Gray) (12.6" x 9.4" x 4.3")	New	1	0	1	0	0	0	0	USD	0	0.0	0	0.0	1	41	61	61				-1.0	-1.0	Edit listing	0	0.0	0	0	0.0	6.421052631578948	0.508822	cubic feet	Standard
2020-09-21	AB-0737	X0023M5ILF	B07PZ6ZVLG	Neon Electronic Transformer 8000V 8KV 30mA Neon Power Supply Rectifier Kit	New	32	0	32	0	0	0	0	USD	0	0.0	0	0.0	11	56	87	110	Low traffic	29.99	29.99	29.99	0.0	Lower price	44	29.99	0	0	0.0	2.2	2.566656	cubic feet	Standard
2020-09-21	TEK-NY-8124	X001GZSEUR	B073TRPBHM	Desoldering Gun S-993A 110V 100W 50HZ Electric Desoldering Gun Solder Sucker Gun Suction Tin Gun with Vacuum Desordering Pump	New	160	0	160	0	0	0	0	USD	0	0.0	0	0.0	9	40	46	47		105.99	105.99	105.99	0.0	Improve recommendations	9	105.99	0	0	0.0	0.9038461538461539	32.151200	cubic feet	Standard
2020-09-21	JK-0085	X001O4VZBZ	B078W71686	4/7 Channel Professional Powered Mixer Power Mixing Live Studio Audio Sound DJ-Mixer Mixing Console with USB slot (7 Channel)	New	140	0	140	0	0	0	0	USD	0	0.0	0	0.0	0	47	59	107		66.99	66.99	66.99	0.0	Improve recommendations	0	0.0	0	0	0.0	1.7833333333333334	37.947560	cubic feet	Standard
2020-09-21	JK-0643-02	X002IR6EWH	B088BJY41Q	YaeCCC 2 Pack 5 Inch Hand Sanding Blocks, Round and Mouse-Shaped for 5 Inch Hook and Loop Discs Ideal For Wood Furniture Restoration Home Arts and Crafts	New	19	0	19	0	0	0	0	USD	0	0.0	0	0.0	0	0	3	40	Low traffic	14.99	14.99	14.99	0.0	Lower price	0	0.0	0	0	0.0	1.5533980582524272	1.239541	cubic feet	Standard
2020-09-21	AB-0971-80	X002JGK9QT	B089LP4GCP	YaeCCC 80 Pcs 1 inch Abrasive Wheel Buffing Polishing Wheel Grinding Accessories, 4 Grits for Dremel Rotary Tool	New	6	0	6	0	0	0	0	USD	0	0.0	0	0.0	10	48	50	50	Low traffic	15.99	15.99	15.99	0.0	Lower price	9	15.99	0	0	0.0	2.34375	0.260736	cubic feet	Standard
2020-09-21	JK-0638	X002ICUJ2X	B087CK36KP	YaeCCC Right Taillight Back Rear Lights compatible with Hilux 2005-2011 Vigo 06 07 08 09 Rh	New	17	0	0	17	0	0	0	USD	0	0.0	0	0.0	0	1	2	2	Low traffic	19.99	19.99	19.99	0.0	Lower price	17	19.99	0	0	0.0	0.10810810810810811	4.052358	cubic feet	Standard
2020-09-21	DS-0037	X001TGAVVD	B07DWVJ2XZ	Universal 4 Way Flat Separator Plug & Play Adapter Extension Harness for LED Tailgate Light Bar and Trailer Lights	New	100	0	100	0	0	0	0	USD	0	0.0	0	0.0	0	1	26	136	Low traffic	9.99	9.99	9.99	0.0	Lower price	0	0.0	0	0	0.0	2.0374531835205993	0.343700	cubic feet	Standard
2020-09-21	LS-0067-11	X002J1GQB1	B088TDZCLL	YaeCCC 10 Pack 2" Sanding Grinding Discs + 1 Pack 1/4'' Holder-Removes Rust, Strips Paint, Cleaning & Stripping Sanding Disc	New	50	0	50	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	14.99	14.99	14.99	0.0	Lower price	0	0.0	0	0	0.0	0.0	2.648600	cubic feet	Standard
2020-09-21	TEK-AB-0356	X001NOC3UD	B078HKXW64	New LD-3 Electric Bench Top Centrifuge Lab Medical Practice 4000rpm 650ml	New	3	0	1	2	0	0	0	USD	0	0.0	0	0.0	2	19	27	32	Low traffic	184.99	184.99	184.99	0.0	Lower price	0	0.0	0	0	0.0	1.3763440860215055	4.576398	cubic feet	Oversize
